Date,Strategy,Bitcoin
12/19/19,10000,10000
12/20/19,10036.19,10052.49
12/21/19,9981.81,9975.46
12/22/19,10342.43,10491.08
12/23/19,10163.95,10233.26
12/24/19,10103.77,10147.5
12/25/19,10053.36,10075.98
12/26/19,10050.24,10072.3
12/27/19,10101.21,10146.06
12/28/19,10160.5,10231.93
12/29/19,10230.04,10332.77
12/30/19,10091.61,10133.84
12/31/19,9959.23,10062.84
1/1/20,9958.69,10070.7
1/2/20,9958.14,9741.84
1/3/20,9957.59,10272.24
1/4/20,9957.05,10285.04
1/5/20,9956.5,10291.53
1/6/20,9955.96,10849.89
1/7/20,9955.41,11391.52
1/8/20,9740.13,11266.63
1/9/20,9739.6,10933.47
1/10/20,9739.06,11463.88
1/11/20,9738.53,11216.33
1/12/20,9738,11447.04
1/13/20,9737.46,11342.66
1/14/20,9736.93,12321.18
1/15/20,9736.4,12337.12
1/16/20,9735.86,12195.31
1/17/20,9735.33,12465.6
1/18/20,9734.8,12469.35
1/19/20,9734.26,12169.7
1/20/20,9733.73,12086.7
1/21/20,9733.2,12217.71
1/22/20,9732.66,12142.65
1/23/20,9732.13,11754.08
1/24/20,9731.6,11802.3
1/25/20,9731.06,11664.66
1/26/20,9730.53,12048.45
1/27/20,9730,12457.62
1/28/20,9842.73,13110.23
1/29/20,9798,13008.59
1/30/20,9926.41,13304.63
1/31/20,9828.75,13080.42
2/1/20,9847.51,13124.78
2/2/20,9814.7,13050.52
2/3/20,9790.26,12995.59
2/4/20,9731.72,12862.43
2/5/20,9984.64,13442.85
2/6/20,10080.72,13666.56
2/7/20,10105.27,13724.92
2/8/20,10153.58,13838.65
2/9/20,10309.19,14197.66
2/10/20,10095.43,13778.21
2/11/20,10361.17,14297.41
2/12/20,10433.95,14442
2/13/20,10364.89,14306.57
2/14/20,10445.7,14467.03
2/15/20,10134.36,13852.17
2/16/20,10142.79,13869.73
2/17/20,9990.99,13574.26
2/18/20,10320.96,14215.78
2/19/20,9914.61,13417.33
2/20/20,9915.97,13421
2/21/20,9973.75,13533.77
2/22/20,9954.31,13497.14
2/23/20,10159.92,13896.48
2/24/20,9958.76,13504.51
2/25/20,9712.55,13028.6
2/26/20,9297.46,12286.55
2/27/20,9276.94,12339.64
2/28/20,9251.26,12157.41
2/29/20,9218.01,11920.63
3/1/20,9219.1,11932.2
3/2/20,9616.63,12468.34
3/3/20,9469.87,12251.33
3/4/20,9343.14,12238.47
3/5/20,9623.85,12663.36
3/6/20,9806.74,12771.32
3/7/20,9507.35,12428.37
3/8/20,8580.2,11234.93
3/9/20,9074.97,11090.26
3/10/20,9071.06,11040.88
3/11/20,9054.62,11096.77
3/12/20,8696.52,6713.01
3/13/20,8800.02,7801.91
3/14/20,8766.2,7233.35
