Date,Strategy,Bitcoin
12/19/2019,10000.00,10000.00
12/20/2019,10036.19,10052.49
12/21/2019,9981.81,9975.46
12/22/2019,10342.43,10491.08
12/23/2019,10163.95,10233.26
12/24/2019,10103.77,10147.50
12/25/2019,10053.36,10075.98
12/26/2019,10050.24,10072.30
12/27/2019,10101.21,10146.06
12/28/2019,10160.50,10231.93
12/29/2019,10230.04,10332.77
12/30/2019,10091.61,10133.84
12/31/2019,9959.23,10062.84
1/1/2020,9958.69,10070.70
1/2/2020,9958.14,9741.84
1/3/2020,9957.59,10272.24
1/4/2020,9957.05,10285.04
1/5/2020,9956.50,10291.53
1/6/2020,9955.96,10849.89
1/7/2020,9955.41,11391.52
1/8/2020,9740.13,11266.63
1/9/2020,9739.60,10933.47
1/10/2020,9739.06,11463.88
1/11/2020,9738.53,11216.33
1/12/2020,9738.00,11447.04
1/13/2020,9737.46,11342.66
1/14/2020,9736.93,12321.18
1/15/2020,9736.40,12337.12
1/16/2020,9735.86,12195.31
1/17/2020,9735.33,12465.60
1/18/2020,9734.80,12469.35
1/19/2020,9734.26,12169.70
1/20/2020,9733.73,12086.70
1/21/2020,9733.20,12217.71
1/22/2020,9732.66,12142.65
1/23/2020,9732.13,11754.08
1/24/2020,9731.60,11802.30
1/25/2020,9731.06,11664.66
1/26/2020,9730.53,12048.45
1/27/2020,9730.00,12457.62
1/28/2020,9842.73,13110.23
1/29/2020,9798.00,13008.59
1/30/2020,9926.41,13304.63
1/31/2020,9828.75,13080.42
2/1/2020,9847.51,13124.78
2/2/2020,9814.70,13050.52
2/3/2020,9790.26,12995.59
2/4/2020,9731.72,12862.43
2/5/2020,9984.64,13442.85
2/6/2020,10080.72,13666.56
2/7/2020,10105.27,13724.92
2/8/2020,10153.58,13838.65
2/9/2020,10309.19,14197.66
2/10/2020,10095.43,13778.21
2/11/2020,10361.17,14297.41
2/12/2020,10433.95,14442.00
2/13/2020,10364.89,14306.57
2/14/2020,10445.70,14467.03
2/15/2020,10134.36,13852.17
2/16/2020,10142.79,13869.73
2/17/2020,9990.99,13574.26
2/18/2020,10320.96,14215.78
2/19/2020,9914.61,13417.33
2/20/2020,9915.97,13421.00
2/21/2020,9973.75,13533.77
2/22/2020,9954.31,13497.14
2/23/2020,10159.92,13896.48
2/24/2020,9958.76,13504.51
2/25/2020,9712.55,13028.60
2/26/2020,9297.46,12286.55
2/27/2020,9276.94,12339.64
2/28/2020,9251.26,12157.41
2/29/2020,9218.01,11920.63
3/1/2020,9219.10,11932.20
3/2/2020,9616.63,12468.34
3/3/2020,9469.87,12251.33
3/4/2020,9343.14,12238.47
3/5/2020,9623.85,12663.36
3/6/2020,9806.74,12771.32
3/7/2020,9507.35,12428.37
3/8/2020,8580.20,11234.93
3/9/2020,9074.97,11090.26
3/10/2020,9071.06,11040.88
3/11/2020,9054.62,11096.77
3/12/2020,8696.52,6713.01
3/13/2020,8800.02,7801.91
3/14/2020,8766.20,7233.35
3/15/2020,8957.20,7498.01
3/16/2020,8266.38,7033.23
3/17/2020,8265.92,7429.95
3/18/2020,8265.47,7542.40
3/19/2020,9090.00,8618.34
3/20/2020,9136.99,8682.66
3/21/2020,9114.46,8652.76
3/22/2020,8731.60,8134.19
3/23/2020,9415.37,9044.81
3/24/2020,9697.56,9432.78
3/25/2020,9613.05,9338.67
3/26/2020,9672.91,9422.49
3/27/2020,9259.35,8893.49
3/28/2020,9142.25,8722.22
3/29/2020,9061.97,8225.42
3/30/2020,9061.47,8942.81
3/31/2020,9060.98,8965.27
4/1/2020,9060.48,9290.41
4/2/2020,9059.98,9501.83
4/3/2020,9059.49,9417.93
4/4/2020,9062.89,9589.79
4/5/2020,9050.84,9472.02
4/6/2020,9094.90,10251.18
4/7/2020,9085.26,10065.76
4/8/2020,9109.04,10295.06
4/9/2020,9089.85,10186.34
4/10/2020,9051.28,9592.49
4/11/2020,9051.17,9617.54
4/12/2020,9050.93,9655.25
4/13/2020,9046.41,9563.11
4/14/2020,9045.92,9606.17
4/15/2020,9045.42,9260.09
4/16/2020,9044.93,9932.37
4/17/2020,9044.43,9828.33
4/18/2020,9043.94,10137.48
4/19/2020,8968.76,9958.66
4/20/2020,8806.74,9547.61
4/21/2020,8814.31,9567.95
4/22/2020,8970.94,9964.81
4/23/2020,9166.76,10464.44
4/24/2020,9178.57,10496.06
4/25/2020,9198.77,10543.15
4/26/2020,9283.46,10759.13
4/27/2020,9326.56,10873.14
4/28/2020,9317.74,10823.29
4/29/2020,9906.90,12277.21
4/30/2020,9770.47,12055.44
5/1/2020,9930.89,12344.88
5/2/2020,10056.38,12547.80
5/3/2020,9988.48,12438.86
5/4/2020,9962.09,12407.82
5/5/2020,10068.83,12617.41
5/6/2020,10143.69,12786.76
5/7/2020,10783.45,13966.41
5/8/2020,10652.07,13705.73
5/9/2020,10457.65,13341.26
5/10/2020,9823.01,12199.17
5/11/2020,9697.35,11973.65
5/12/2020,9888.74,12322.27
5/13/2020,10259.27,13019.55
5/14/2020,10612.30,13694.50
5/15/2020,10268.22,13029.41
5/16/2020,10315.17,13120.11
